region,value
Northland Region,1840
Auckland Region,1840
Waikato Region,1850
Bay of Plenty Region,1850
Gisborne Region,1850
Hawke's Bay Region,1860
Taranaki Region,1850
Manawatu-Whanganui Region,1860
Wellington Region,1850
West Coast Region,1870
Canterbury Region,1850
Otago Region,1880
Southland Region,1890
Tasman Region,1900
Nelson Region,1840
Marlborough Region,1890
Area Outside Region,1900
